,week,position,name,overall_rank,Andy Behrens,Scott Pianowski,Dalton Del Don,Matt Harmon,Kate Magdziuk,Tera Roberts,points,ranking,overall_rank_error,Andy Behrens_error,Scott Pianowski_error,Dalton Del Don_error,Matt Harmon_error,Kate Magdziuk_error,Tera Roberts_error
172,6,K,Eddy Pineiro,,,,,,,,9,14.0,,,,,,,
173,6,K,Chad Ryland,,,,,,,,8,16.0,,,,,,,
174,6,K,Matthew Wright,,,,10.0,,,,13,4.0,,,,6.0,,,
175,6,K,Daniel Carlson,,,,,,,,1,27.0,,,,,,,
176,6,K,Greg Zuerlein,,,,,,,,8,16.0,,,,,,,
177,6,K,Dustin Hopkins,,,,,,,,12,6.0,,,,,,,
178,6,K,Joey Slye,,,,,,,,3,26.0,,,,,,,
179,7,K,Younghoe Koo,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2,26.0,25.0,24.0,23.0,23.0,25.0,25.0,25.0
180,7,K,Justin Tucker,2.0,4.0,1.0,4.0,2.0,2.0,5.0,13,7.0,5.0,3.0,6.0,3.0,5.0,5.0,2.0
181,7,K,Ka'imi Fairbairn,3.0,5.0,2.0,5.0,3.0,3.0,2.0,12,8.0,5.0,3.0,6.0,3.0,5.0,5.0,6.0
182,7,K,Austin Seibert,4.0,7.0,4.0,1.0,8.0,5.0,4.0,17,3.0,1.0,4.0,1.0,2.0,5.0,2.0,1.0
183,7,K,Evan McPherson,5.0,6.0,7.0,7.0,4.0,4.0,3.0,3,24.0,19.0,18.0,17.0,17.0,20.0,20.0,21.0
184,7,K,Will Reichard,6.0,3.0,5.0,8.0,7.0,6.0,7.0,15,5.0,1.0,2.0,0.0,3.0,2.0,1.0,2.0
185,7,K,Chase McLaughlin,7.0,8.0,6.0,6.0,5.0,7.0,6.0,5,16.0,9.0,8.0,10.0,10.0,11.0,9.0,10.0
186,7,K,Harrison Butker,8.0,1.0,8.0,10.0,12.0,8.0,8.0,4,19.0,11.0,18.0,11.0,9.0,7.0,11.0,11.0
187,7,K,Jake Elliott,9.0,10.0,9.0,,6.0,9.0,10.0,4,19.0,10.0,9.0,10.0,,13.0,10.0,9.0
188,7,K,Cameron Dicker,10.0,11.0,12.0,11.0,11.0,10.0,9.0,21,1.0,9.0,10.0,11.0,10.0,10.0,9.0,8.0
189,7,K,Jake Bates,11.0,9.0,10.0,,9.0,11.0,,8,12.0,1.0,3.0,2.0,,3.0,1.0,
190,7,K,Jason Myers,12.0,,,9.0,,,,12,8.0,4.0,,,1.0,,,
191,7,K,Tyler Bass,,,,,,,11.0,10,11.0,,,,,,,0.0
192,7,K,Matt Gay,,,,,,,,12,8.0,,,,,,,
193,7,K,Blake Grupe,,12.0,,,10.0,12.0,,4,19.0,,7.0,,,9.0,7.0,
194,7,K,Chris Boswell,,,,,,,12.0,14,6.0,,,,,,,6.0
195,7,K,Wil Lutz,,,11.0,,,,,18,2.0,,,9.0,,,,
196,7,K,Joshua Karty,,,,2.0,,,,2,26.0,,,,24.0,,,
197,7,K,Jason Sanders,,,,,,,,4,19.0,,,,,,,
198,7,K,Greg Joseph,,,,,,,,3,24.0,,,,,,,
199,7,K,Dustin Hopkins,,,,,,,,0,30.0,,,,,,,
200,7,K,Cam Little,,,,,,,,6,15.0,,,,,,,
201,7,K,Brandon McManus,,,,,,,,7,14.0,,,,,,,
202,7,K,Anders Carlson,,,,12.0,,,,8,12.0,,,,0.0,,,
203,7,K,Eddy Pineiro,,,,,,,,1,28.0,,,,,,,
204,7,K,Greg Zuerlein,,,,,,,,1,28.0,,,,,,,
205,7,K,Nick Folk,,,,,,,,4,19.0,,,,,,,
206,7,K,Daniel Carlson,,,,,,,,16,4.0,,,,,,,
207,7,K,Joey Slye,,,,,,,,5,16.0,,,,,,,
208,7,K,Chad Ryland,,,,,,,,5,16.0,,,,,,,
209,8,K,Will Reichard,1.0,1.0,3.0,1.0,1.0,3.0,2.0,8,17.0,16.0,16.0,14.0,16.0,16.0,14.0,15.0
210,8,K,Justin Tucker,2.0,3.0,2.0,3.0,2.0,1.0,1.0,7,20.0,18.0,17.0,18.0,17.0,18.0,19.0,19.0
211,8,K,Ka'imi Fairbairn,3.0,5.0,1.0,2.0,3.0,2.0,3.0,11,9.0,6.0,4.0,8.0,7.0,6.0,7.0,6.0
212,8,K,Brandon Aubrey,4.0,2.0,5.0,7.0,6.0,5.0,4.0,6,23.0,19.0,21.0,18.0,16.0,17.0,18.0,19.0
213,8,K,Younghoe Koo,5.0,4.0,4.0,8.0,4.0,4.0,5.0,7,20.0,15.0,16.0,16.0,12.0,16.0,16.0,15.0
214,8,K,Harrison Butker,6.0,9.0,6.0,4.0,7.0,7.0,8.0,10,11.0,5.0,2.0,5.0,7.0,4.0,4.0,3.0
215,8,K,Austin Seibert,7.0,7.0,8.0,,5.0,6.0,7.0,13,5.0,2.0,2.0,3.0,,0.0,1.0,2.0
216,8,K,Evan McPherson,8.0,6.0,12.0,11.0,9.0,9.0,10.0,5,24.0,16.0,18.0,12.0,13.0,15.0,15.0,14.0
217,8,K,Chase McLaughlin,9.0,8.0,,10.0,8.0,8.0,9.0,8,17.0,8.0,9.0,,7.0,9.0,9.0,8.0
218,8,K,Wil Lutz,10.0,,10.0,5.0,11.0,11.0,6.0,4,26.0,16.0,,16.0,21.0,15.0,15.0,20.0
219,8,K,Cameron Dicker,11.0,,7.0,9.0,10.0,10.0,11.0,9,15.0,4.0,,8.0,6.0,5.0,5.0,4.0
220,8,K,Jake Bates,12.0,,,6.0,12.0,12.0,,12,6.0,6.0,,,0.0,6.0,6.0,
221,8,K,Chris Boswell,,11.0,9.0,,,,,14,3.0,,8.0,6.0,,,,
222,8,K,Brandon McManus,,10.0,11.0,12.0,,,12.0,12,6.0,,4.0,5.0,6.0,,,6.0
223,8,K,Jason Myers,,,,,,,,4,26.0,,,,,,,
224,8,K,Jake Elliott,,12.0,,,,,,15,2.0,,10.0,,,,,
225,8,K,Tyler Bass,,,,,,,,7,20.0,,,,,,,
